vehicle_id,event_time,speed_mps,speed_kmh,data_type
AV_1,2022-02-18 15:01:15,3.5,12.6,0
AV_1,2022-02-18 15:01:16,2.9,10.44,0
AV_1,2022-02-18 15:01:17,0.8,2.8800000000000003,0
AV_1,2022-02-18 15:01:18,1.2,4.32,0
AV_1,2022-02-18 15:01:19,1.2,4.32,0
AV_1,2022-02-18 15:01:20,0.8,2.8800000000000003,0
AV_1,2022-02-18 15:01:21,0.7,2.52,0
AV_1,2022-02-18 15:01:22,0.9,3.24,0
AV_1,2022-02-18 15:01:23,0.7,2.52,0
AV_1,2022-02-18 15:01:24,2.0,7.2,0
AV_1,2022-02-18 15:01:25,0.4,1.4400000000000002,0
AV_1,2022-02-18 15:01:26,2.0,7.2,0
AV_1,2022-02-18 15:01:27,0.8,2.8800000000000003,0
AV_1,2022-02-18 15:01:28,0.9,3.24,0
AV_1,2022-02-18 15:01:30,1.0,3.6,0
AV_1,2022-02-18 15:01:30,1.0,3.6,0
AV_1,2022-02-18 15:01:32,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:01:33,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:01:34,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:01:35,1.0,3.6,0
AV_1,2022-02-18 15:01:36,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:01:37,1.0,3.6,0
AV_1,2022-02-18 15:01:38,1.0,3.6,0
AV_1,2022-02-18 15:01:39,1.0,3.6,0
AV_1,2022-02-18 15:01:40,1.0,3.6,0
AV_1,2022-02-18 15:01:41,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:01:42,1.0,3.6,0
AV_1,2022-02-18 15:01:43,1.0,3.6,0
AV_1,2022-02-18 15:01:44,1.0,3.6,0
AV_1,2022-02-18 15:01:45,1.0,3.6,0
AV_1,2022-02-18 15:01:46,1.0,3.6,0
AV_1,2022-02-18 15:01:47,1.0,3.6,0
AV_1,2022-02-18 15:01:48,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:01:49,0.6,2.16,0
AV_1,2022-02-18 15:01:50,0.3,1.08,0
AV_1,2022-02-18 15:01:51,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:01:52,0.7,2.52,0
AV_1,2022-02-18 15:01:53,0.3,1.08,0
AV_1,2022-02-18 15:01:54,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:01:55,1.0,3.6,0
AV_1,2022-02-18 15:01:56,1.0,3.6,0
AV_1,2022-02-18 15:01:57,1.0,3.6,0
AV_1,2022-02-18 15:01:58,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:01:59,1.0,3.6,0
AV_1,2022-02-18 15:02:00,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:02:01,1.0,3.6,0
AV_1,2022-02-18 15:02:02,1.0,3.6,0
AV_1,2022-02-18 15:02:03,1.0,3.6,0
AV_1,2022-02-18 15:02:04,0.4,1.4400000000000002,0
AV_1,2022-02-18 15:02:05,0.2,0.7200000000000001,0
AV_1,2022-02-18 15:02:06,0.1,0.36000000000000004,0
AV_1,2022-02-18 15:02:07,0.4,1.4400000000000002,0
AV_1,2022-02-18 15:02:08,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:02:09,1.3,4.680000000000001,0
AV_1,2022-02-18 15:02:10,0.8,2.8800000000000003,0
AV_1,2022-02-18 15:02:11,1.0,3.6,0
AV_1,2022-02-18 15:02:12,1.0,3.6,0
AV_1,2022-02-18 15:02:13,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:02:14,1.0,3.6,0
AV_1,2022-02-18 15:02:15,1.0,3.6,0
AV_1,2022-02-18 15:02:16,1.0,3.6,0
AV_1,2022-02-18 15:02:17,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:02:18,1.0,3.6,0
AV_1,2022-02-18 15:02:19,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:02:20,1.1,3.9600000000000004,0
AV_1,2022-02-18 15:02:21,1.0,3.6,0
AV_1,2022-02-18 15:02:22,1.0,3.6,0
AV_1,2022-02-18 15:02:23,1.0,3.6,0
AV_1,2022-02-18 15:02:24,1.0,3.6,0
AV_1,2022-02-18 15:02:25,1.0,3.6,0
AV_1,2022-02-18 15:02:26,1.0,3.6,0
AV_1,2022-02-18 15:02:27,1.0,3.6,0
AV_1,2022-02-18 15:02:28,1.0,3.6,0
AV_1,2022-02-18 15:02:29,1.0,3.6,0
AV_1,2022-02-18 15:02:30,1.0,3.6,0
AV_1,2022-02-18 15:02:31,1.0,3.6,0
AV_1,2022-02-18 15:02:32,1.0,3.6,0
AV_1,2022-02-18 15:02:33,1.0,3.6,0
AV_1,2022-02-18 15:02:34,1.0,3.6,0
AV_1,2022-02-18 15:02:35,1.0,3.6,0
AV_1,2022-02-18 15:02:36,1.0,3.6,0
AV_1,2022-02-18 15:02:37,1.0,3.6,0
AV_1,2022-02-18 15:02:38,1.0,3.6,0
AV_1,2022-02-18 15:02:39,1.0,3.6,0
AV_1,2022-02-18 15:02:40,1.0,3.6,0
AV_1,2022-02-18 15:02:41,1.0,3.6,0
AV_1,2022-02-18 15:02:42,1.0,3.6,0
